"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Post Test","","Create New User Data","0","0","1","0","0"
"","Login","Login with invalid username and password","0","0","1","0","0"
"Delete Test","","Delete Specific User Data","1","0","0","0","0"
"Get Test","","Get Specific User Data","0","0","1","0","0"
"Put Test","","Update Specific User Data","0","0","1","0","0"
"","Login","Login with valid username and password","0","0","1","0","0"
"Verification Delete Test","","Verification After Delete Specific User Data","0","0","1","0","0"
"Get Test","","Get All User Data","0","0","1","0","0"
"","Checkout Process","User selects Samsung Galaxy S6 and completes checkout","0","0","1","0","0"
"","Sign Up","New User Sign Up","0","0","1","0","0"
